weekday,day,month,year,time,aircraft_type,num_of_engines,engine_type,engine_model,years_active,airframe_hrs,operator,occupants,accident_loc,above_ocean,flight_phase,damage,accident_latitude,accident_longtitude,fatalities
3,16.0,1,1945,11.0,137,2.0,1,80,1.0,1187.0,2208,4.0,188,0,5.0,3.0,37.3467,-88.6429,4.0
6,26.0,1,1945,15.1,137,2.0,1,80,3.0,3561.0,2208,4.0,188,0,3.0,3.0,33.562944,-86.75355,4.0
3,6.0,2,1945,13.56666667,137,2.0,1,80,0.0,0.0,1722,4.0,9,1,5.0,5.0,63.3,-38.0,4.0
4,7.0,2,1945,19.25,137,2.0,1,80,1.0,1187.0,2208,39.0,36,0,5.0,3.0,24.8,106.8333,37.0
6,23.0,2,1945,2.416666667,137,2.0,1,117,6.0,17296.0,382,22.0,188,0,5.0,3.0,36.8411,-81.3603,17.0
4,14.0,3,1945,13.56666667,137,2.0,1,80,1.0,1187.0,2208,22.0,10,0,5.0,3.0,-14.187548,144.368823,2.0
1,18.0,3,1945,13.56666667,137,2.0,1,80,2.0,2374.0,2208,6.0,188,0,5.0,3.0,55.414,-162.038,3.0
7,24.0,3,1945,13.56666667,137,2.0,1,80,2.0,2374.0,2208,5.0,68,0,5.0,3.0,51.691135,6.594619,5.0
7,24.0,3,1945,13.56666667,137,2.0,1,80,1.0,1187.0,2208,5.0,68,0,5.0,3.0,51.683333,6.63333,1.0
3,10.0,4,1945,12.41666667,137,2.0,1,80,1.0,1187.0,2208,5.0,68,0,6.0,3.0,50.992797,10.472711,5.0
5,19.0,4,1945,13.56666667,137,2.0,1,80,2.0,2374.0,2208,3.0,120,0,5.0,4.0,27.175,96.0333,3.0
7,5.0,5,1945,5.3,137,2.0,1,117,8.0,9496.0,437,6.0,10,0,7.0,3.0,-10.9177,142.42873,6.0
4,30.0,5,1945,9.333333333,137,2.0,1,80,0.0,0.0,2208,21.0,41,0,5.0,3.0,4.89377,-6.149104,21.0
6,1.0,6,1945,3.0,137,2.0,1,80,1.0,1208.0,1726,4.0,10,0,6.0,3.0,-23.434167,144.280278,0.0
1,3.0,6,1945,10.25,137,2.0,1,80,1.0,1187.0,2208,3.0,37,0,3.0,3.0,4.628937,-74.14832,0.0
3,5.0,6,1945,13.56666667,137,2.0,1,80,2.0,2374.0,2208,7.0,21,0,5.0,3.0,27.378139,92.01625,7.0
1,6.0,1,1946,3.983333333,137,2.0,1,117,5.0,5935.0,1604,11.0,188,0,6.0,3.0,33.562944,-86.75355,3.0
7,2.0,2,1946,13.56666667,137,2.0,1,80,2.0,2374.0,2208,5.0,63,0,5.0,3.0,43.53583333,5.66083,5.0
5,16.0,5,1946,1.066666667,137,2.0,1,80,2.0,1180.0,2245,27.0,188,0,7.0,3.0,37.4134,-77.2981,27.0
5,11.0,7,1946,11.66666667,214,4.0,1,119,0.0,959.0,2124,6.0,188,0,7.0,3.0,40.4159,-75.9901,5.0
4,7.0,8,1946,14.0,137,2.0,1,80,2.0,2374.0,561,16.0,132,0,7.0,3.0,60.38333,11.166667,3.0
7,7.0,9,1946,4.166666667,33,4.0,1,97,0.0,0.0,567,24.0,66,0,4.0,3.0,13.3077,-16.6343,24.0
5,12.0,9,1946,13.7,138,4.0,1,81,2.0,3598.0,1604,4.0,188,0,7.0,3.0,38.852083,-77.037722,0.0
3,17.0,9,1946,1.283333333,137,2.0,1,80,4.0,4748.0,1785,7.0,18,0,4.0,3.0,50.893238,4.506905,1.0
5,3.0,10,1946,5.05,138,4.0,1,81,1.0,3731.0,389,39.0,30,0,4.0,4.0,48.615,-58.4249,39.0
1,6.0,10,1946,13.56666667,33,4.0,1,97,16.320683111964417,19379.0,1722,21.0,83,1,5.0,3.0,5.468846,98.758874,21.0
3,8.0,10,1946,4.55,138,4.0,1,81,2.0,3077.0,2198,41.0,188,0,7.0,3.0,41.1746,-104.849032,2.0
